image,scene,color,object_id,area_px
books_boosted.png,books_boosted,blue_light,16,2629
books_boosted.png,books_boosted,blue_light,17,6195
books_boosted.png,books_boosted,blue_light,18,6665
books_boosted.png,books_boosted,blue_light,19,4942
books_boosted.png,books_boosted,blue_light,20,66558
books_boosted.png,books_boosted,blue_light,21,6118
books_boosted.png,books_boosted,blue_light,22,5935
books_boosted.png,books_boosted,blue_light,23,7706
books_boosted.png,books_boosted,blue_light,24,5175
books_boosted.png,books_boosted,blue_light,25,7646
books_boosted.png,books_boosted,blue_light,26,7911
books_boosted.png,books_boosted,blue_light,27,11758
books_boosted.png,books_boosted,blue_light,28,7349
books_boosted.png,books_boosted,blue_light,29,11040
books_boosted.png,books_boosted,blue_light,30,13013
books_boosted.png,books_boosted,blue_light,31,10744
books_boosted.png,books_boosted,blue_light,32,3641
books_boosted.png,books_boosted,blue_light,33,8244
books_boosted.png,books_boosted,blue_light,34,26743
books_boosted.png,books_boosted,blue_light,35,10447
books_boosted.png,books_boosted,blue_light,36,12240
books_boosted.png,books_boosted,blue_light,37,30413
books_boosted.png,books_boosted,blue_light,38,16898
books_boosted.png,books_boosted,green_dark,1,281
books_boosted.png,books_boosted,green_dark,2,558
books_boosted.png,books_boosted,green_dark,3,195
books_boosted.png,books_boosted,green_dark,4,72
books_boosted.png,books_boosted,green_dark,5,49
books_boosted.png,books_boosted,green_dark,6,315
books_boosted.png,books_boosted,green_dark,7,625
books_boosted.png,books_boosted,green_dark,8,190
books_boosted.png,books_boosted,green_dark,9,100
books_boosted.png,books_boosted,green_dark,10,1086
books_boosted.png,books_boosted,green_dark,11,349
books_boosted.png,books_boosted,green_dark,12,504
books_boosted.png,books_boosted,green_dark,13,117
books_boosted.png,books_boosted,green_dark,14,47
books_boosted.png,books_boosted,green_dark,15,42
books_boosted.png,books_boosted,green_dark,16,64
books_boosted.png,books_boosted,green_dark,17,586
books_boosted.png,books_boosted,green_dark,18,144
books_boosted.png,books_boosted,green_dark,19,70
books_boosted.png,books_boosted,green_dark,20,114
books_boosted.png,books_boosted,green_dark,21,74
books_boosted.png,books_boosted,green_dark,22,195
books_boosted.png,books_boosted,green_dark,23,118
books_boosted.png,books_boosted,green_dark,24,78
books_boosted.png,books_boosted,green_dark,25,680
books_boosted.png,books_boosted,green_dark,26,135
books_boosted.png,books_boosted,green_dark,27,118
books_boosted.png,books_boosted,green_dark,28,413
books_boosted.png,books_boosted,green_light,1,227
books_boosted.png,books_boosted,green_light,2,360
books_boosted.png,books_boosted,green_light,3,127
books_boosted.png,books_boosted,green_light,4,2458
books_boosted.png,books_boosted,green_light,5,172
books_boosted.png,books_boosted,green_light,6,178
books_boosted.png,books_boosted,green_fluo,1,13074
books_boosted.png,books_boosted,green_fluo,2,32518
books_boosted.png,books_boosted,green_fluo,3,11623
books_boosted.png,books_boosted,green_fluo,4,13014
books_boosted.png,books_boosted,green_fluo,5,17516
books_boosted.png,books_boosted,yellow,1,7245
books_boosted.png,books_boosted,yellow,2,38337
books_boosted.png,books_boosted,white,1,728
books_boosted.png,books_boosted,white,2,1394
books_boosted.png,books_boosted,white,3,931
books_boosted.png,books_boosted,white,4,4022
books_boosted.png,books_boosted,white,5,7260
books_boosted.png,books_boosted,white,6,5731
books_boosted.png,books_boosted,white,7,318
books_boosted.png,books_boosted,white,8,329
books_boosted.png,books_boosted,white,9,8532
books_boosted.png,books_boosted,white,10,4849
books_boosted.png,books_boosted,white,11,847
books_boosted.png,books_boosted,white,12,3487
